date,gold_usd,silver_usd,lly_usd,wmt_usd,vrt_usd,ccj_usd,avgo_usd,jnj_usd,usdsek,gold_sek,silver_sek,gold_ret,silver_ret,lly_ret,wmt_ret,vrt_ret,ccj_ret,avgo_ret,jnj_ret,portfolio_ret
2009-01-01,,,,,,,,,7.7732,,,,,,,,,,,
2009-01-02,878.8000,11.4650,40.5700,19.0600,,19.3500,,60.6500,7.7067,6772.65,88.36,,,,,,,,,
2009-01-05,857.2000,11.2450,39.4600,18.8400,,19.5000,,60.0500,7.8508,6729.71,88.28,-2.4579,-1.9189,-2.7360,-1.1542,,0.7752,,-0.9893,-1.6935
2009-01-06,865.4000,11.4200,39.5700,18.6733,,20.4300,,59.6900,7.8493,6792.78,89.64,0.9566,1.5562,0.2788,-0.8846,,4.7692,,-0.5995,0.9196
2009-01-07,841.1000,11.0800,38.6200,18.5133,,19.7100,,59.1300,7.8495,6602.21,86.97,-2.8080,-2.9772,-2.4008,-0.8568,,-3.5242,,-0.9382,-2.3421
2009-01-08,853.9000,11.0720,38.8100,17.1267,,20.1100,,59.0200,7.7850,6647.61,86.20,1.5218,-0.0722,0.4920,-7.4901,,2.0294,,-0.1860,-0.5984
2009-01-09,854.3000,11.2950,38.4800,17.1933,,19.1400,,59.0500,7.9245,6769.90,89.51,0.0468,2.0141,-0.8503,0.3893,,-4.8235,,0.0508,-0.4140
2009-01-12,820.3000,10.7250,38.1300,17.1300,,17.8700,,58.3400,8.0487,6602.35,86.32,-3.9799,-5.0465,-0.9096,-0.3684,,-6.6353,,-1.2024,-2.9963
2009-01-13,820.1000,10.6550,38.5200,17.3733,,18.2900,,58.8400,8.2737,6785.26,88.16,-0.0244,-0.6527,1.0228,1.4205,,2.3503,,0.8570,0.7180
2009-01-14,808.2000,10.4520,37.4700,17.1867,,17.1400,,57.9500,8.3714,6765.77,87.50,-1.4510,-1.9052,-2.7259,-1.0744,,-6.2876,,-1.5126,-2.2751
2009-01-15,806.7000,10.4200,37.5500,17.1167,,17.2800,,57.6200,8.2439,6650.35,85.90,-0.1856,-0.3062,0.2135,-0.4073,,0.8168,,-0.5695,-0.0723
2009-01-16,839.3000,11.1950,38.1300,17.1867,,17.5400,,57.4400,8.1853,6869.92,91.63,4.0412,7.4376,1.5446,0.4090,,1.5046,,-0.3124,2.6899
2009-01-19,,,,,,,,,8.2977,,,,,,,,,,,
2009-01-20,854.6000,11.1580,37.3900,16.8533,,16.6200,,56.7500,8.4364,7209.75,94.13,1.8229,-0.3305,-1.9407,-1.9395,,-5.2452,,-1.2013,-0.9333
2009-01-21,849.6000,11.3150,38.2400,16.3800,,17.2800,,56.3600,8.1912,6959.24,92.68,-0.5851,1.4071,2.2733,-2.8085,,3.9711,,-0.6872,0.3334
